domain_id,Domain,Task
871,Language,"Relation extraction,Sentiment classification,Text classification,Named entity recognition (NER)"
872,Games,Go
873,Games,Hanabi
874,3D modeling,"3D segmentation,Object detection"
875,Unknown,Multi-class classification
876,Unknown,Regression
877,Biology,"Proteins,Protein folding prediction,Protein contact and distance prediction"
878,Language,"Question answering,Text autocompletion"
879,Language,"Language modeling,Translation,Text classification"
880,Biology,"Protein folding prediction,Protein property prediction"
881,Vision,Image super-resolution
882,Vision,"Image classification,Object recognition"
883,Image generation,Image super-resolution
884,Games,Capture the flag
885,Language,"Language modeling,Neural Architecture Search - NAS"
886,Vision,"Object detection,Image classification,Image segmentation"
887,Language,"Question answering,Text classification,Language modeling"
888,Vision,Digit recognition
889,Vision,"Image classification,Digit recognition"
890,Language,"Question answering,Sentiment classification,Language modeling"
891,Language,"Language modeling,Text summarization"
892,Vision,Person retrieval
893,Speech,Speech synthesis
894,Games,"Chess,Shogi,Go"
895,Video,Person re-identification
896,Vision,Person re-identification
897,Recommendation,Collaborative filtering
898,Vision,"Image classification,Object detection,Semantic segmentation,Pose estimation"
899,Biology,Protein localization prediction
900,Games,Atari game: Ms. Pac-Man
901,3D modeling,3D segmentation
902,3D modeling,Action recognition
903,Vision,"Object detection,Image classification,Face detection"
904,Vision,"Face recognition,3D reconstruction"
905,Vision,Face detection
906,Vision,"Digit recognition,Image classification"
907,Vision,"Image classification,Atari"
908,Vision,Pose estimation
909,Speech,"Text-to-speech (TTS),Speech synthesis,Audio generation"
910,Mathematics,Pattern classification
911,Video,"Video,Action recognition"
912,Language,Part-of-speech tagging
913,Vision,Face recognition
914,Language,"Named entity recognition (NER),Language modeling"
915,Vision,"Face detection,3D reconstruction"
916,Robotics,"Robotic manipulation,Self-driving car"
917,Vision,Face verification
918,Video,Video
919,Other,Sequence memorization
920,Recommendation,"Recommender system,Click-through rate prediction"
921,Video,Video classification
922,Vision,"Entity embedding,Semantic segmentation"
923,Language,Sentiment classification
924,Speech,Audio classification
925,Vision,Image clustering
926,Vision,Semantic embedding
927,Language,Language Structure Modeling
928,Vision,"Object detection,Image segmentation"
929,Audio,"Language modeling,Audio generation"
930,Other,Mathematical simulation
931,Vision,"Character recognition (OCR),Image classification"
932,Other,Text classification
933,Language,"Semantic embedding,Sentiment classification"
934,Speech,Transcription
935,Speech,"Speech recognition (ASR),Transcription"
936,Other,Binary classification
937,Other,Image classification
938,Recommendation,Movie ratings
939,Other,Miscellaneous image analysis
940,Vision,Self-driving car
941,Driving,Self-driving car
942,Other,"Image classification,Language Structure Modeling,Text classification"
943,Recommendation,"Movie ratings,Recommender system"
944,Other,"Image classification,Regression"
945,Other,Image embedding
946,Vision,"Object recognition,Image classification"
947,Video,Corner detection
948,Driving,Helicopter driving
949,Robotics,"Self-driving car,Object detection"
950,Vision,Miscellaneous image analysis
951,Biology,Other Biological Modeling
952,Language,Word sense disambiguation
953,Vision,"Image classification,Text classification"
954,Recommendation,"Recommender system,Collaborative filtering,Movie ratings"
955,Recommendation,"Recommender system,Search"
956,Language,Document classification
957,Language,"Binary classification,Part-of-speech tagging"
958,Other,Pole balancing
959,Mathematics,"Pattern classification,Binary classification,Regression"
960,Mathematics,Periodic function approximation
961,Materials science,Pattern classification
962,Vision,"Binary classification,Digit recognition"
963,Games,Backgammon
964,Medicine,Medical diagnosis
965,Robotics,"Route finding,System control"
966,Games,Pole balancing
967,Language,"Semantic embedding,Document representation,Language Structure Modeling,Search"
968,Unknown,Object recognition
969,Mathematics,Triplet completion
970,Other,Representation learning
971,Other,"Text classification,Image classification"
972,Language,Verb conjugation
973,Other,Pattern recognition
974,Robotics,Pole balancing
975,Mathematics,Dimensionality reduction
976,Vision,"Digit recognition,Character recognition (OCR)"
977,Other,"Miscellaneous image analysis,Image classification"
978,Games,Blackjack
979,Games,Tic Tac Toe
980,Games,Checkers
981,Robotics,System control
982,Mathematics,Binary classification
983,Vision,Pattern recognition
984,Language,Morse translation
985,Mathematics,Numerical simulation
986,Robotics,Maze solving
